ID,English Name,ranking
1,Nancy Yuk-Yu IP,0.584
2,Yike GUO,0.612
3,Ting Chuen PONG,0.612
4,Tim Kwang-Ting CHENG,0.673
5,Yang WANG,0.603
6,Penger TONG,0.596
7,Jimmy Chi Hung FUNG,0.603
8,Che Ting CHAN,0.596
9,Yung Hou WONG,0.584
10,Hong Kam LO,0.673
11,Kar Yan TAM,0.735
12,Kellee Sing TSAI,0.612
13,Huamin QU,0.612
14,Kam Biu LUK,0.603
15,Charles Wang Wai NG,0.673
16,King Lau CHOW,0.624
17,Kai Lung HUI,0.643
18,Yuk Fai FONG,0.596
19,Stuart GIETEL-BASTEN,0.603
20,Allen Hao HUANG,0.92
21,Arthur Pui Sang LAU,0.624
22,Kam Tuen LAW,0.624
23,Pak Wo LEUNG,0.596
24,Yi-Min LIN,0.92
25,Ho Yi MAK,0.603
26,Kira MATUS,0.673
27,Wai Ho MOW,0.673
28,Zhi NING,0.673
29,Stephen Lee SHIH,0.673
30,Richard Hau Yue SO,0.673
31,Yu-Hsing WANG,0.673
32,Melinda Karen WHONG,0.624
33,James Ka Lei WONG,0.92
34,Ben Yui Bun CHAN,0.673
35,Leung Yuk Frank LAM,0.673
36,Yongshun CAI,0.612
37,Jianping GAN,0.603
38,Yaping GONG,0.735
39,Jiewen HONG,0.673
40,Ming Yi HUNG,0.735
41,Alexis Kai Hon LAU,0.612
42,Steven B. MILES,0.624
43,Andrew Wing On POON,0.596
44,Minhua SHAO,0.673
45,Qingping SUN,0.612
46,Jiannong WANG,0.596
47,Kun XU,0.591
48,Chu ZHANG,0.735
49,Jiheng ZHANG,0.673
50,Li Min ZHANG,0.673
51,Xiaofang ZHOU,0.612
52,David Edward COOK,0.596
53,Robert Kam Ming KO,0.584
54,Wa Hung LEUNG,0.603
55,Naubahar SHARIF,0.673
56,Qian ZHANG,0.612
57,Qing LI,0.735
58,Jack Chin Pang CHENG,0.673
59,Henry Hei Ning LAM,0.673
60,Zhigang LI,0.673
61,Tiezheng QIAN,0.603
62,Gang WANG,0.673
63,Raymond Chi Wing WONG,0.673
64,Tom CHEUNG,0.587
65,Xiaojuan MA,0.612
66,Nora Anniesha Binte HUSSIN,0.624
67,Khaled BEN LETAIEF,0.673
68,Ricky Shi-wei LEE,0.673
69,Bertram Emil SHI,0.673
70,Steven John DEKREY,0.735
71,Guojun BU,0.587
72,Man Sun CHAN,0.673
73,Ying Ju CHEN,0.735
74,Andrew Glen COHEN,0.596
75,Xi DAI,0.603
76,Sam GARG,0.735
77,Mohamed Salah GHIDAOUI,0.673
78,Albert Yiu Cheung HA,0.92
79,Yan JI,0.596
80,James LEE,0.624
81,Jiatao LI,0.735
82,Anirban MUKHOPADHYAY,0.673
83,Sir Christopher PISSARIDES,0.596
84,Peiyuan QIAN,0.624
85,Jaideep SENGUPTA,0.735
86,Mengze SHI,0.92
87,James Yeong Liang THONG,0.643
88,Gunther UHLMANN,0.603
89,Ting XIE,0.624
90,Yuan XIE,0.673
91,Lianke YAN,0.673
92,Xin ZHANG,0.612
93,Utpal BHATTACHARYA,0.735
94,Cameron Dougall CAMPBELL,0.596
95,Guanghao CHEN,0.596
96,Kevin Chien-Wen CHEN,0.735
97,Kevin Jing CHEN,0.673
98,Lei CHEN,0.612
99,Shing Chi CHEUNG,0.643
100,Zhiyong FAN,0.612
101,Pascale FUNG,0.612
102,Furong GAO,0.673
103,Vidhan Krishan GOYAL,0.735
104,Charles Youyang HSU,0.735
105,Lancelot Fitzgerald JAMES,0.603
106,Guocheng JIA,0.603
107,Vincent Kin Nang LAU,0.673
108,Bo LI,0.673
109,Weiping LI,0.603
110,Xiaoyuan LI,0.603
111,Yingying LI,0.603
112,Zhenyang LIN,0.603
113,Shiqing LING,0.603
114,Hongbin LIU,0.591
115,Irene Man Chi LO,0.673
116,Ross MURCH,0.673
117,Tai Kai NG,0.596
118,Albert Francis PARK,0.603
119,Randy Yat Choi POON,0.587
120,Karl Wah Keung TSIM,0.603
121,Fugee TSUNG,0.673
122,Ning WANG,0.596
123,Danyang XIE,0.596
124,Henry He YAN,0.603
125,Hai YANG,0.603
126,Dit Yan YEUNG,0.612
127,Jianzhen YU,0.603
128,Fumin ZHANG,0.673
129,Rachel Quan ZHANG,0.735
130,Tianshou ZHAO,0.673
131,Shaohui ZHENG,0.673
132,Zexiang LI,0.673
133,Michael Scott ALTMAN,0.596
134,David Karl BANFIELD,0.587
135,Jianfeng CAI,0.603
136,Gary Shueng Han CHAN,0.673
137,Ho Bun CHAN,0.596
138,Simon Wan CHAN,0.603
139,Huai-Liang CHANG,0.603
140,Jeffrey Robert CHASNOV,0.596
141,Ying CHAU,0.673
142,Beifang CHEN,0.603
143,Fei CHEN,0.612
144,Kai CHEN,0.612
145,Kani CHEN,0.603
146,Tai-Yuan CHEN,0.735
147,Siu Wing CHENG,0.612
148,Edmund Yik Man CHIANG,0.603
149,Albert Chi Shing CHUNG,0.603
150,Cunsheng DING,0.612
151,Ping GAO,0.673
152,Song GUO,0.612
153,Yilong HAN,0.596
154,Carsten Andreas HOLZ,0.596
155,Andrew Brian HORNER,0.612
156,I-ming HSING,0.673
157,Jishan HU,0.603
158,Xijun HU,0.673
159,Baoling HUANG,0.673
160,Pingbo HUANG,0.596
161,Yong HUANG,0.603
162,Gyu Boong JO,0.596
163,Ajay JONEJA,0.673
164,Lambros KATAFYGIOTIS,0.673
165,Wing Hung KI,0.673
166,James Tin Yau KWOK,0.612
167,David Chuen Chun LAM,0.596
168,Christopher Kin Ying LEUNG,0.673
169,Shing Yu LEUNG,0.603
170,Siu Fai LEUNG,0.596
171,Jensen Tsan Hang LI,0.596
172,Mo LI,0.612
173,Ning LI,0.624
174,Fangzhen LIN,0.612
175,Nian LIN,0.596
176,Jianmei LIU,0.673
177,Qian LIU,0.612
178,Rolf Walter LORTZ,0.612
179,Qiong LUO,0.612
180,Zhengtang LUO,0.612
181,Howard Cam LUONG,0.673
182,Guowu MENG,0.603
183,Yongli MI,0.673
184,Mo MU,0.603
185,Abhiroop MUKHERJEE,0.596
186,Eric S NELSON,0.624
187,Kristiaan NEYTS,0.624
188,Daniel P. PALOMAR,0.624
189,Dimitris PAPADIAS,0.673
190,Robert Zhong QI,0.624
191,Xiangtong QI,0.735
192,Ye QI,0.612
193,Li QIU,0.673
194,Jianan QU,0.603
195,Long QUAN,0.612
196,Pedro SANDER,0.612
197,Chii SHANG,0.673
198,Ling SHI,0.673
